location,start,end,age,activity,tagID
Unknown-Inside,2017-06-21 08:10:19.500,2017-06-21 15:43:06.700,0,undefined,1109
Unknown-Inside,2017-06-21 15:43:06.700,2017-06-21 17:58:52.250,0,undefined,1109
Unknown-Inside,2017-06-21 17:58:52.250,2017-06-22 08:00:56.550,0,undefined,1109
Outside,2017-06-21 08:53:06.300,2017-06-21 09:05:34.900,0,outside-foraging,1230
Inside,2017-06-21 09:05:34.900,2017-06-21 09:12:41.300,0,inside,1230
Outside-Unknown,2017-06-21 09:12:41.300,2017-06-21 09:34:13.900,0,undefined,1230
Outside-Unknown,2017-06-21 09:34:13.900,2017-06-21 11:03:27.800,0,undefined,1230
Outside-Unknown,2017-06-21 11:03:27.800,2017-06-21 11:03:58.200,0,undefined,1230
Outside-Unknown,2017-06-21 11:03:58.200,2017-06-21 11:04:20.550,0,undefined,1230
Outside,2017-06-21 11:04:20.550,2017-06-21 11:04:54.350,0,outside-short,1230
Unknown-Inside,2017-06-21 11:04:54.350,2017-06-21 11:05:43.100,0,undefined,1230
Inside,2017-06-21 11:05:43.100,2017-06-21 11:06:31.500,0,inside,1230
Outside,2017-06-21 11:06:31.500,2017-06-21 11:07:16.100,0,outside-short,1230
Unknown-Inside,2017-06-21 11:07:16.100,2017-06-21 11:07:49.500,0,undefined,1230
Inside,2017-06-21 11:07:49.500,2017-06-21 11:08:49.150,0,inside,1230
Outside,2017-06-21 11:08:49.150,2017-06-21 11:12:14.100,0,outside-short,1230
Inside,2017-06-21 11:12:14.100,2017-06-21 11:12:56.600,0,inside,1230
Outside-Unknown,2017-06-21 11:12:56.600,2017-06-21 11:13:12.750,0,undefined,1230
Outside,2017-06-21 11:13:12.750,2017-06-21 11:13:44.250,0,outside-short,1230
Unknown-Inside,2017-06-21 11:13:44.250,2017-06-21 11:15:05.750,0,undefined,1230
Inside,2017-06-21 11:15:05.750,2017-06-21 11:16:11.800,0,inside,1230
Outside,2017-06-21 11:16:11.800,2017-06-21 11:16:39.550,0,outside-short,1230
Unknown-Inside,2017-06-21 11:16:39.550,2017-06-21 11:17:54.050,0,undefined,1230
Inside,2017-06-21 11:17:54.050,2017-06-21 11:18:45.750,0,inside,1230
Outside,2017-06-21 11:18:45.750,2017-06-21 11:19:03.950,0,outside-short,1230
Unknown-Inside,2017-06-21 11:19:03.950,2017-06-21 11:19:31.500,0,undefined,1230
Inside,2017-06-21 11:19:31.500,2017-06-21 11:20:13.700,0,inside,1230
Outside-Unknown,2017-06-21 11:20:13.700,2017-06-21 11:20:49.500,0,undefined,1230
Outside,2017-06-21 11:20:49.500,2017-06-21 11:22:27.650,0,outside-short,1230
Inside,2017-06-21 11:22:27.650,2017-06-21 11:22:46.200,0,inside,1230
Outside-Unknown,2017-06-21 11:22:46.200,2017-06-21 11:23:38.000,0,undefined,1230
Outside,2017-06-21 11:23:38.000,2017-06-21 11:23:50.000,0,outside-short,1230
Unknown-Inside,2017-06-21 11:23:50.000,2017-06-21 11:24:45.750,0,undefined,1230
Inside,2017-06-21 11:24:45.750,2017-06-21 11:25:20.100,0,inside,1230
Outside-Unknown,2017-06-21 11:25:20.100,2017-06-21 11:26:01.950,0,undefined,1230
Outside,2017-06-21 11:26:01.950,2017-06-21 11:26:19.650,0,outside-short,1230
Inside,2017-06-21 11:26:19.650,2017-06-21 11:27:39.650,0,inside,1230
Outside,2017-06-21 11:27:39.650,2017-06-21 11:28:15.250,0,outside-short,1230
Inside,2017-06-21 11:28:15.250,2017-06-21 11:28:54.850,0,inside,1230
Outside,2017-06-21 11:28:54.850,2017-06-21 11:29:34.600,0,outside-short,1230
Unknown-Inside,2017-06-21 11:29:34.600,2017-06-21 11:29:51.250,0,undefined,1230
Unknown-Inside,2017-06-21 11:29:51.250,2017-06-21 11:30:22.450,0,undefined,1230
Inside,2017-06-21 11:30:22.450,2017-06-21 11:30:46.600,0,inside,1230
Outside,2017-06-21 11:30:46.600,2017-06-21 11:31:35.150,0,outside-short,1230
Inside,2017-06-21 11:31:35.150,2017-06-21 11:33:53.900,0,inside,1230
Outside-Unknown,2017-06-21 11:33:53.900,2017-06-21 11:34:10.000,0,undefined,1230
Outside-Unknown,2017-06-21 11:34:10.000,2017-06-21 11:35:51.150,0,undefined,1230
Outside-Unknown,2017-06-21 11:35:51.150,2017-06-21 11:36:16.600,0,undefined,1230
Outside,2017-06-21 11:36:16.600,2017-06-21 11:36:27.200,0,outside-short,1230
Inside,2017-06-21 11:36:27.200,2017-06-21 11:37:40.800,0,inside,1230
Outside,2017-06-21 11:37:40.800,2017-06-21 11:40:39.550,0,outside-short,1230
Inside,2017-06-21 11:40:39.550,2017-06-21 11:41:18.050,0,inside,1230
Outside-Unknown,2017-06-21 11:41:18.050,2017-06-21 11:41:52.800,0,undefined,1230
Outside,2017-06-21 11:41:52.800,2017-06-21 11:42:50.450,0,outside-short,1230
Inside,2017-06-21 11:42:50.450,2017-06-21 11:43:25.600,0,inside,1230
Outside-Unknown,2017-06-21 11:43:25.600,2017-06-21 11:43:36.750,0,undefined,1230
Outside,2017-06-21 11:43:36.750,2017-06-21 11:44:07.750,0,outside-short,1230
Unknown-Inside,2017-06-21 11:44:07.750,2017-06-21 11:44:34.650,0,undefined,1230
Inside,2017-06-21 11:44:34.650,2017-06-21 11:44:57.550,0,inside,1230
Outside-Unknown,2017-06-21 11:44:57.550,2017-06-21 11:45:08.750,0,undefined,1230
Outside-Unknown,2017-06-21 11:45:08.750,2017-06-21 11:45:25.150,0,undefined,1230
Outside-Unknown,2017-06-21 11:45:25.150,2017-06-21 11:45:58.350,0,undefined,1230
Outside-Unknown,2017-06-21 11:45:58.350,2017-06-21 11:47:07.100,0,undefined,1230
Outside,2017-06-21 11:47:07.100,2017-06-21 11:48:24.750,0,outside-short,1230
Inside,2017-06-21 11:48:24.750,2017-06-21 11:49:27.400,0,inside,1230
Outside-Unknown,2017-06-21 11:49:27.400,2017-06-21 11:49:49.150,0,undefined,1230
